Test Number,tree_name,min_deg,sorted,height,total_keys,num_nodes,avg_visits_exact_first,total_visits_exact_first,avg_visits_exact_all,total_visits_exact_all,total_matches_exact_all,avg_matches_exact_all,avg_visits_exact_first_opt,total_visits_exact_first_opt,avg_visits_range,total_visits_range,avg_keys_per_range,total_keys_found_range
1,Product ID,3,True,8,35311,9,8.6,86,17650.0,176500,10,1.0,1193.4,11934,17650.0,176500,20.0,200
2,Product Title,3,True,8,35311,9,8.8,88,17549.0,175490,11,1.1,1751.4,17514,17549.0,175490,20.6,206
3,Merchant ID,3,True,8,35311,9,3.5,35,17232.0,172320,8122,812.2,156.1,1561,17232.0,172320,924.7,9247
4,Cluster ID,3,True,8,35311,9,7.3,73,15421.0,154210,24,2.4,180.1,1801,15421.0,154210,24.1,241
5,Cluster Label,3,True,8,35311,9,7.3,73,15625.0,156250,50,5.0,1546.9,15469,15625.0,156250,22.4,224
6,Category ID,3,True,8,35311,9,1.6,16,17612.0,176120,34285,3428.5,574.0,5740,17612.0,176120,3820.1,38201
7,Category Label,3,True,8,35311,9,1.4,14,17613.0,176130,41237,4123.7,192.9,1929,17613.0,176130,3608.4,36084
8,Product ID,4,True,7,35311,8,7.7,77,11766.0,117660,10,1.0,1005.6,10056,11766.0,117660,20.0,200
9,Product Title,4,True,7,35311,8,7.1,71,11731.0,117310,17,1.7,261.4,2614,11731.0,117310,20.1,201
10,Merchant ID,4,True,6,35311,7,2.4,24,11477.0,114770,6537,653.7,797.4,7974,11477.0,114770,1277.4,12774
11,Cluster ID,4,True,6,35311,7,5.6,56,10615.0,106150,32,3.2,10.6,106,10615.0,106150,23.6,236
12,Cluster Label,4,True,6,35311,7,5.9,59,10790.0,107900,36,3.6,410.6,4106,10790.0,107900,28.2,282
13,Category ID,4,True,6,35311,7,1.3,13,11737.0,117370,38559,3855.9,254.2,2542,11737.0,117370,3273.9,32739
14,Category Label,4,True,6,35311,7,1.6,16,11736.0,117360,36540,3654.0,332.0,3320,11736.0,117360,3933.3,39333
15,Product ID,5,True,6,35311,7,6.6,66,8826.0,88260,10,1.0,508.8,5088,8826.0,88260,20.0,200
16,Product Title,5,True,6,35311,7,6.8,68,8803.0,88030,13,1.3,715.6,7156,8803.0,88030,20.4,204
17,Merchant ID,5,True,5,35311,6,2.1,21,8600.0,86000,10834,1083.4,617.9,6179,8600.0,86000,652.9,6529
18,Cluster ID,5,True,6,35311,7,6.4,64,8133.0,81330,65,6.5,535.5,5355,8133.0,81330,23.9,239
19,Cluster Label,5,True,6,35311,7,6.0,60,8273.0,82730,43,4.3,771.2,7712,8273.0,82730,23.4,234
20,Category ID,5,True,6,35311,7,1.9,19,8803.0,88030,37466,3746.6,102.1,1021,8803.0,88030,3581.7,35817
21,Category Label,5,True,6,35311,7,1.9,19,8803.0,88030,37937,3793.7,530.6,5306,8803.0,88030,4334.7,43347
22,Product ID,6,True,5,35311,6,5.7,57,7060.0,70600,10,1.0,478.1,4781,7060.0,70600,20.0,200
23,Product Title,6,True,5,35311,6,5.7,57,7048.0,70480,11,1.1,252.9,2529,7048.0,70480,20.0,200
24,Merchant ID,6,True,5,35311,6,3.1,31,6873.0,68730,7947,794.7,554.8,5548,6873.0,68730,560.4,5604
25,Cluster ID,6,True,5,35311,6,5.4,54,6619.0,66190,51,5.1,517.6,5176,6619.0,66190,24.2,242
26,Cluster Label,6,True,5,35311,6,5.1,51,6755.0,67550,53,5.3,506.2,5062,6755.0,67550,23.8,238
27,Category ID,6,True,5,35311,6,1.6,16,7038.0,70380,35963,3596.3,632.4,6324,7038.0,70380,3609.3,36093
28,Category Label,6,True,5,35311,6,1.7,17,7038.0,70380,36193,3619.3,552.3,5523,7038.0,70380,3668.7,36687
29,Product ID,7,True,5,35311,6,5.9,59,5883.0,58830,10,1.0,40.1,401,5883.0,58830,20.0,200
30,Product Title,7,True,5,35311,6,5.5,55,5872.0,58720,11,1.1,125.8,1258,5872.0,58720,20.7,207
31,Merchant ID,7,True,4,35311,5,2.2,22,5726.0,57260,9149,914.9,571.3,5713,5726.0,57260,721.2,7212
32,Cluster ID,7,True,5,35311,6,5.4,54,5614.0,56140,61,6.1,174.2,1742,5614.0,56140,23.2,232
33,Cluster Label,7,True,5,35311,6,5.4,54,5706.0,57060,41,4.1,405.3,4053,5706.0,57060,23.2,232
34,Category ID,7,True,4,35311,5,1.0,10,5865.0,58650,37054,3705.4,527.0,5270,5865.0,58650,4000.6,40006
35,Category Label,7,True,4,35311,5,1.0,10,5864.0,58640,41956,4195.6,353.6,3536,5864.0,58640,3502.4,35024
